event_id,match_id,player_id,event_type,minute,team_id
138,19,121,Yellow Card,29,6
139,19,128,Yellow Card,9,6
140,20,125,Goal,40,6
141,20,126,Goal,12,6
142,20,133,Goal,59,6
143,20,461,Goal,48,21
144,20,467,Goal,38,21
145,20,480,Yellow Card,32,21
146,20,472,Yellow Card,76,21
147,20,467,Yellow Card,70,21
148,20,120,Yellow Card,1,6
149,20,461,Yellow Card,30,21
150,21,481,Goal,89,21
151,21,461,Goal,43,21
152,21,470,Yellow Card,14,21
153,22,54,Goal,54,3
154,22,62,Goal,8,3
155,22,51,Goal,36,3
156,22,164,Goal,6,8
157,22,169,Goal,67,8
158,22,175,Goal,90,8
159,22,173,Goal,59,8
160,22,63,Yellow Card,18,3
161,23,450,Goal,10,20
162,23,60,Yellow Card,85,3
163,23,54,Yellow Card,38,3
164,23,448,Yellow Card,51,20
165,23,448,Yellow Card,58,20
166,23,445,Yellow Card,10,20
167,24,51,Goal,75,3
168,24,50,Goal,20,3
169,24,487,Goal,22,22
170,24,498,Goal,60,22
171,24,494,Goal,53,22
172,24,487,Goal,69,22
173,24,61,Yellow Card,40,3
174,24,492,Yellow Card,16,22
175,24,52,Yellow Card,88,3
176,25,184,Goal,90,8
177,25,181,Goal,6,8
178,25,444,Goal,42,20
179,25,442,Goal,12,20
180,25,460,Goal,32,20
181,25,454,Yellow Card,7,20
182,25,446,Yellow Card,23,20
183,25,174,Yellow Card,58,8
184,26,179,Goal,32,8
185,26,165,Goal,60,8
186,26,487,Goal,18,22
187,26,487,Goal,2,22
188,26,485,Goal,29,22
189,26,488,Goal,26,22
190,26,505,Yellow Card,81,22
191,26,180,Yellow Card,76,8
192,26,486,Yellow Card,3,22
193,26,168,Yellow Card,83,8
194,27,442,Goal,12,20
195,27,448,Goal,16,20
196,27,485,Goal,60,22
197,27,456,Yellow Card,56,20
198,28,82,Goal,64,4
199,28,70,Goal,49,4
200,28,91,Goal,55,4
201,28,144,Goal,46,7
202,28,145,Goal,24,7
203,28,147,Goal,36,7
204,28,153,Goal,20,7
205,28,90,Yellow Card,38,4
206,29,87,Goal,62,4
207,29,71,Goal,12,4
208,29,78,Goal,50,4
209,29,212,Goal,54,10
210,29,214,Goal,83,10
211,29,90,Yellow Card,70,4
212,29,82,Yellow Card,46,4
213,29,225,Yellow Card,63,10
214,29,226,Yellow Card,65,10
215,29,220,Yellow Card,35,10
216,30,517,Goal,77,23
217,30,514,Goal,4,23
218,30,515,Goal,8,23
219,30,522,Goal,68,23
220,30,75,Yellow Card,13,4
221,30,91,Yellow Card,31,4
222,30,524,Yellow Card,8,23
223,31,146,Goal,74,7
224,31,151,Goal,46,7
225,31,144,Goal,23,7
226,31,146,Goal,76,7
227,31,226,Yellow Card,4,10
228,31,226,Yellow Card,73,10
229,31,157,Yellow Card,25,7
230,32,154,Goal,70,7
231,32,516,Goal,23,23
232,32,522,Goal,5,23
233,32,509,Goal,8,23
234,32,139,Yellow Card,68,7
235,32,507,Yellow Card,43,23
236,33,214,Goal,17,10
237,33,218,Goal,23,10
238,33,218,Goal,8,10
239,33,507,Goal,19,23
240,33,211,Yellow Card,68,10
241,33,509,Yellow Card,48,23
242,33,525,Yellow Card,13,23
243,33,516,Yellow Card,42,23
244,33,213,Yellow Card,56,10
245,34,108,Goal,84,5
246,34,103,Goal,23,5
247,34,253,Goal,72,11
248,34,238,Yellow Card,86,11
249,34,105,Yellow Card,40,5
250,34,235,Yellow Card,23,11
251,34,115,Yellow Card,74,5
252,34,249,Yellow Card,5,11
253,35,103,Goal,79,5
254,35,100,Goal,82,5
255,35,111,Goal,14,5
256,35,430,Goal,19,19
257,35,425,Goal,10,19
258,35,422,Goal,45,19
259,35,425,Goal,22,19
260,35,429,Yellow Card,2,19
261,36,100,Goal,89,5
262,36,95,Goal,45,5
263,36,101,Goal,14,5
264,36,93,Goal,7,5
265,36,289,Goal,57,13
266,36,290,Goal,22,13
267,36,290,Goal,64,13
268,36,294,Yellow Card,49,13
269,36,108,Yellow Card,74,5
270,36,98,Yellow Card,58,5
271,36,94,Yellow Card,38,5
272,36,280,Red Card,10,13
273,37,241,Goal,22,11
274,37,243,Goal,21,11
275,37,233,Goal,71,11
276,37,233,Goal,44,11
277,37,434,Goal,79,19
278,37,430,Goal,4,19
279,37,428,Goal,84,19
280,37,420,Goal,78,19
281,37,232,Yellow Card,13,11
282,37,421,Yellow Card,25,19
283,37,437,Yellow Card,71,19
284,37,436,Yellow Card,37,19
285,38,234,Goal,7,11
286,38,289,Goal,74,13
287,38,294,Goal,63,13
288,38,242,Yellow Card,1,11
289,38,279,Yellow Card,38,13
290,39,435,Goal,77,19
291,39,430,Goal,26,19
292,39,418,Goal,4,19
293,39,283,Goal,22,13
294,39,297,Goal,38,13
295,39,280,Yellow Card,40,13
296,40,367,Yellow Card,34,16
297,40,205,Yellow Card,70,9
298,40,351,Yellow Card,48,16
299,40,357,Yellow Card,24,16
300,41,193,Goal,57,9
301,41,199,Goal,34,9
302,41,192,Goal,35,9
303,41,203,Goal,8,9
304,41,258,Goal,90,12
305,41,275,Goal,13,12
306,41,256,Goal,86,12
307,41,265,Goal,70,12
308,41,202,Yellow Card,8,9
309,41,270,Yellow Card,54,12
310,41,272,Yellow Card,31,12
311,41,263,Yellow Card,11,12
312,42,207,Goal,5,9
313,42,201,Goal,74,9
314,42,17,Goal,74,1
315,42,22,Goal,80,1
316,42,5,Goal,16,1
317,42,190,Yellow Card,28,9
318,42,189,Yellow Card,6,9
319,42,3,Yellow Card,88,1
320,42,7,Yellow Card,81,1
321,42,11,Red Card,9,1
322,43,256,Goal,50,12
323,43,271,Goal,51,12
324,43,271,Goal,42,12
325,43,254,Yellow Card,90,12
326,43,257,Yellow Card,54,12
327,43,350,Yellow Card,73,16
328,44,364,Yellow Card,13,16
329,45,271,Goal,45,12
330,45,267,Goal,34,12
331,45,13,Goal,84,1
332,45,16,Goal,74,1
333,45,2,Yellow Card,23,1
334,45,13,Yellow Card,19,1
335,45,2,Yellow Card,51,1
336,45,23,Yellow Card,31,1
337,45,269,Yellow Card,35,12
338,46,346,Goal,44,16
339,46,355,Goal,40,16
340,46,354,Goal,63,16
341,46,350,Yellow Card,39,16
342,47,245,Goal,42,11
343,47,239,Goal,54,11
344,47,329,Yellow Card,57,15
345,47,336,Yellow Card,63,15
346,47,232,Yellow Card,66,11
347,47,325,Yellow Card,40,15
348,47,235,Yellow Card,68,11
349,48,231,Goal,23,11
350,48,2,Yellow Card,32,1
351,48,15,Yellow Card,7,1
352,49,414,Goal,26,18
353,49,400,Goal,48,18
354,49,130,Goal,65,6
355,49,128,Goal,82,6
356,49,119,Goal,88,6
357,49,403,Yellow Card,63,18
358,50,466,Goal,61,21
359,50,134,Goal,71,6
360,50,127,Goal,45,6
361,50,121,Goal,34,6
362,50,116,Yellow Card,50,6
363,50,468,Red Card,83,21
364,51,445,Goal,87,20
365,51,444,Goal,35,20
366,51,458,Goal,53,20
367,51,155,Goal,3,7
368,51,160,Goal,2,7
369,51,154,Goal,17,7
370,51,445,Yellow Card,33,20
371,51,161,Yellow Card,83,7
372,52,199,Yellow Card,33,9
373,52,153,Yellow Card,39,7
374,52,203,Yellow Card,14,9
375,52,155,Yellow Card,85,7
376,53,334,Goal,72,15
377,53,343,Goal,77,15
378,53,332,Yellow Card,88,15
379,53,154,Yellow Card,9,7
380,53,331,Yellow Card,82,15
381,53,331,Yellow Card,34,15
382,53,329,Yellow Card,20,15
383,54,468,Goal,8,21
384,54,480,Goal,52,21
385,54,482,Goal,41,21
386,54,252,Goal,18,11
387,54,231,Goal,84,11
388,54,246,Goal,38,11
389,54,243,Yellow Card,50,11
390,54,479,Yellow Card,74,21
391,54,471,Yellow Card,29,21
392,55,274,Goal,61,12
393,55,344,Goal,46,15
394,55,339,Goal,39,15
395,55,263,Yellow Card,13,12
396,55,327,Yellow Card,34,15
397,56,501,Goal,24,22
398,56,505,Goal,43,22
399,56,495,Yellow Card,29,22
400,57,125,Goal,54,6
401,57,264,Goal,48,12
402,57,262,Goal,75,12
403,57,263,Goal,60,12
404,57,255,Yellow Card,82,12
405,58,434,Goal,10,19
406,58,430,Goal,25,19
407,58,431,Goal,16,19
408,58,298,Goal,49,13
409,58,290,Yellow Card,7,13
410,58,419,Yellow Card,26,19
411,58,290,Yellow Card,73,13
412,58,281,Yellow Card,41,13
413,58,417,Yellow Card,63,19
414,59,512,Goal,41,23
415,59,481,Goal,8,21
416,59,469,Yellow Card,27,21
417,60,121,Goal,74,6
418,60,121,Goal,63,6
419,60,118,Goal,17,6
420,60,251,Yellow Card,55,11
421,60,244,Yellow Card,62,11
422,60,231,Yellow Card,5,11
423,60,127,Yellow Card,2,6
424,60,247,Yellow Card,25,11
425,60,136,Red Card,32,6
426,61,100,Goal,89,5
427,61,104,Goal,40,5
428,61,97,Goal,14,5
429,61,151,Goal,65,7
430,61,157,Goal,40,7
431,61,144,Goal,9,7
432,61,148,Yellow Card,59,7
