player_id,team_id,player_name,position,age,height_cm,club,market_value_millions
129,6,Jessica Butler,Goalkeeper,25,194,"Schneider, Foley and Fischer",56.1
130,6,Linda Ford,Midfielder,24,172,Neal Ltd,62.3
131,6,Frank White,Defender,28,171,"Rosales, Hubbard and Yang",46.5
132,6,Douglas Reynolds,Midfielder,31,190,Nichols-Walker,75.3
133,6,Lauren Jimenez,Defender,21,180,Williams Group,8.6
134,6,Jacob Conway,Midfielder,22,167,Day Ltd,28.1
135,6,Christopher Thompson,Forward,30,169,"Jones, Velez and Fuller",40.7
136,6,Robert Flynn,Midfielder,19,191,Taylor LLC,65.9
137,6,Steven Wilcox,Goalkeeper,32,188,Schmidt-Lang,51.0
138,6,Alexandra Levy,Forward,23,192,Morales and Sons,14.5
139,7,Mark Bradley,Midfielder,34,194,"Castillo, Schwartz and Burke",35.1
140,7,Scott Juarez,Midfielder,29,180,Martin Ltd,66.5
141,7,Barbara Hood,Goalkeeper,27,193,Macdonald-Scott,19.9
142,7,Sara Wolfe,Forward,31,186,Carter LLC,2.8
143,7,Matthew Navarro,Midfielder,24,196,Harris and Sons,17.4
144,7,Joseph Smith,Midfielder,29,182,Shannon Group,70.5
145,7,Jason Howard,Midfielder,19,198,"Berg, Porter and Roberts",75.9
146,7,Charlene Snyder,Goalkeeper,26,191,Holland and Sons,39.3
147,7,Nancy Colon DVM,Defender,34,196,Lynn-Gibson,36.1
148,7,Linda Parker,Goalkeeper,21,183,Hall-Schultz,18.1
149,7,Ms. Robin Pena,Defender,28,188,Ramirez-Sanchez,38.1
150,7,Robin Hall,Midfielder,32,186,Brown-Howell,28.5
151,7,Joshua Lopez,Forward,27,184,Hardy-Wilson,20.5
152,7,Peter West,Goalkeeper,25,185,Thomas Group,10.0
153,7,Terri Heath,Defender,25,178,"Flores, Johnson and Shaw",59.2
154,7,Erik Berger,Midfielder,35,183,"Rowland, Bryant and Robertson",78.5
155,7,Joseph Rubio,Defender,28,179,"Marks, Hughes and Hall",29.2
156,7,Douglas Greene,Midfielder,19,173,Gonzalez PLC,22.3
157,7,Hunter Edwards,Goalkeeper,28,173,"Kelly, Miles and Sutton",51.2
158,7,Amanda Lambert,Forward,22,165,Carroll-Hill,46.1
159,7,Jeremy Miller,Forward,34,193,"Schultz, Bates and Barnes",27.6
160,7,Norma Beck,Goalkeeper,27,195,"Rangel, Fernandez and Miller",9.6
161,7,Douglas Anderson,Goalkeeper,31,196,Hernandez Inc,6.4
162,8,Keith Adams,Goalkeeper,23,174,"Campbell, Gomez and Horton",65.0
163,8,William Pollard,Midfielder,21,180,"Kennedy, Lester and Johnston",9.9
164,8,Miss Eileen Davis,Forward,26,198,Case Inc,30.7
165,8,Kenneth Leblanc,Forward,28,192,"Mcclure, Martin and Hall",24.8
166,8,Stephanie Conner,Goalkeeper,22,178,Martinez-Russell,50.2
167,8,Emily Smith,Midfielder,21,175,Rogers-Gates,19.6
168,8,James Sandoval,Goalkeeper,24,165,"Gibson, Powell and Gallagher",33.0
169,8,Wendy Atkinson,Forward,28,167,"Williams, Lee and Kent",18.9
170,8,Nicole Moore,Midfielder,33,169,Carter-Rivas,55.1
171,8,Taylor Walsh,Midfielder,25,192,Craig PLC,9.6
172,8,Denise Montoya,Defender,23,182,Thornton-Hudson,66.2
173,8,Jason Harding,Goalkeeper,20,175,Wells Group,63.5
174,8,Kimberly Baker,Midfielder,33,172,"Nelson, Lee and Riddle",37.8
175,8,Joshua Johnson,Midfielder,31,182,Sosa Group,40.3
176,8,Gary Thomas,Forward,33,170,"Baxter, Koch and Olson",48.0
177,8,Michelle Macias,Forward,29,181,Mendoza-Rodriguez,2.6
178,8,Jordan Hampton,Defender,19,182,Davis PLC,46.3
179,8,Jon Ross,Defender,34,198,Clark Group,52.3
180,8,John Munoz,Midfielder,24,192,Lowe Group,51.0
181,8,Cheryl Krueger,Forward,21,195,Jenkins-Martinez,28.2
182,8,James Flynn,Midfielder,29,171,Miller and Sons,68.7
183,8,Matthew Martinez,Midfielder,32,196,Hughes-Davies,23.4
184,8,Gail Roman,Forward,20,194,Patton Ltd,7.5
185,9,Jennifer Solomon,Midfielder,29,172,Brown-Maddox,77.6
186,9,Frank Jones,Forward,35,165,George-Brooks,52.8
187,9,Melissa Reyes,Forward,32,168,Wood Group,15.4
188,9,Tina Davis,Midfielder,34,193,"Smith, Smith and Love",60.9
189,9,Nichole Lewis,Defender,27,173,"Mcdonald, Davis and Hansen",74.2
190,9,Jason Dyer,Forward,34,172,"Ramsey, Hall and Hernandez",2.8
191,9,Katherine Keller,Defender,24,184,Myers PLC,44.3
192,9,Fred Levy,Forward,21,179,Estrada Ltd,79.4
193,9,Thomas Levine,Goalkeeper,33,172,Alvarado Ltd,52.0
194,9,Danielle Williams,Defender,34,183,Jones-Thomas,41.0
195,9,Steven Downs,Midfielder,32,195,Guzman-Knight,78.4
196,9,Nancy Howard,Defender,33,174,Buchanan-Robles,31.0
197,9,Christine Cox,Defender,21,182,Macdonald-Lyons,61.9
198,9,Melissa Castillo,Forward,29,197,"Evans, Valdez and Galvan",21.7
199,9,Leonard Green,Goalkeeper,28,184,"Jones, Miller and Lopez",67.1
200,9,Christopher Gaines,Forward,23,193,Thompson-Mitchell,43.3
201,9,Tracy White,Midfielder,29,189,"Ramos, Dean and Malone",36.7
202,9,Luis Norton,Midfielder,25,180,Davis-Ramirez,46.0
203,9,Megan Thompson,Defender,32,167,"Pena, Obrien and Smith",25.8
204,9,Robert Chambers,Forward,31,189,Shelton PLC,79.1
205,9,Tyrone Green,Defender,34,167,Bridges-Ball,10.5
206,9,Timothy Mcgee,Midfielder,22,193,Ross PLC,8.4
207,9,Alice Burns,Forward,19,174,"Bernard, Harris and Kennedy",33.1
208,10,Andrew Johnston,Defender,21,195,"Black, Marshall and Pham",62.6
209,10,Christian Johnson,Midfielder,29,190,Wilkins-Walsh,52.2
210,10,Andrea Mosley,Midfielder,31,185,Calderon and Sons,50.3
211,10,Robert Walls,Forward,20,169,Scott Inc,19.2
212,10,Kathryn Mendoza,Midfielder,26,170,Byrd PLC,35.0
213,10,Kristi Benton,Goalkeeper,22,193,Williams PLC,13.7
214,10,Christopher Pope,Midfielder,19,167,Burke Inc,26.3
215,10,Jon Ochoa,Goalkeeper,28,187,Burnett LLC,30.3
216,10,Jessica Clark,Defender,26,198,"Sims, Greer and Esparza",33.3
217,10,Philip Dunlap,Defender,24,176,Anderson-Durham,6.8
218,10,Andrew Campbell,Forward,26,196,"Anderson, Ross and Chan",73.1
219,10,Keith Anderson,Defender,26,194,Mcfarland LLC,51.2
220,10,Jamie Hall,Forward,27,165,"Lee, Whitehead and Jones",72.0
221,10,Kristin Turner,Forward,28,175,Larsen-Young,6.4
222,10,Michael Rice,Midfielder,28,192,Cooper Group,55.4
223,10,Brandy Weeks,Forward,28,177,Hernandez LLC,80.0
224,10,Jason Boyer,Forward,22,180,"Matthews, Williams and Young",30.8
225,10,Andrew Sanders,Midfielder,28,183,Boyle and Sons,2.2
226,10,Bridget Rogers,Forward,27,165,"Lee, Richardson and Ponce",45.5
227,10,Kim Sanders,Goalkeeper,34,183,Mcbride LLC,62.2
228,10,Jimmy Burnett,Defender,30,179,Haynes Ltd,51.1
229,10,Shane Diaz,Midfielder,23,171,Ray-Perez,72.3
230,10,Charles Jenkins,Goalkeeper,28,193,"Thomas, Jackson and Doyle",3.2
231,11,Paul Miller,Midfielder,23,170,"Clarke, Frye and Andrews",72.8
232,11,Michael Mahoney,Midfielder,32,176,"Snyder, Mendoza and Mills",16.5
233,11,John Chavez,Midfielder,35,197,"Wells, Robinson and Ball",73.1
234,11,Gregory Hebert,Defender,27,195,Moreno Group,77.4
235,11,Luke Ramos,Midfielder,29,172,"Russo, Marquez and Sanchez",37.7
236,11,Christina Powell,Goalkeeper,23,179,Ashley-Carlson,68.9
237,11,Robert Watkins,Forward,30,170,Martinez-Acevedo,63.4
238,11,Stephanie Coleman,Goalkeeper,27,172,"Johnson, Compton and Hutchinson",36.7
239,11,Charles Price,Midfielder,31,188,Ortiz LLC,9.1
240,11,John Peterson,Defender,34,166,Reese-Ford,49.8
241,11,Jennifer Burgess,Midfielder,26,169,Franco Inc,51.0
242,11,Julie Espinoza,Forward,28,191,Jackson Inc,9.8
243,11,Jennifer Cantrell,Goalkeeper,20,184,Cruz LLC,79.7
244,11,Daniel Hughes,Goalkeeper,22,180,"Williams, Shelton and Walker",71.0
245,11,Tony Fuller,Defender,31,194,Owens-Mccarty,30.0
246,11,Devon Johnson,Forward,23,191,Martinez and Sons,52.6
247,11,Melissa Collins,Forward,32,182,"Bradley, Donaldson and Barnes",3.1
248,11,John Smith,Midfielder,25,193,Wright-Norris,35.9
249,11,John Choi,Defender,30,171,Benson LLC,78.5
250,11,Casey Velazquez,Midfielder,30,168,Allen-Davis,32.2
251,11,Samuel Parker,Defender,22,194,"Edwards, Arias and Chang",7.8
252,11,Jessica Ross,Defender,19,168,"Reynolds, Curtis and Neal",63.1
253,11,Cynthia Williams,Defender,23,178,Ballard Ltd,6.0
254,12,Joshua Rhodes,Defender,25,179,"Murray, Rodriguez and Patrick",26.6
255,12,Charles Brooks,Defender,19,182,"Keller, Oliver and Christensen",68.7
256,12,Willie Delgado,Defender,23,181,Powers-Snyder,64.0
257,12,Joshua Cline,Goalkeeper,19,173,Hancock and Sons,1.7
258,12,Brian Potter,Defender,29,166,Benjamin-Fleming,14.4
259,12,Madison Howard,Goalkeeper,23,191,"Cooke, Reyes and Richardson",42.3
260,12,April Shah,Goalkeeper,34,193,"Harris, Thompson and Moss",62.4
261,12,Michael Herrera,Goalkeeper,33,197,Farmer-Cooper,18.1
262,12,Alicia Taylor,Goalkeeper,35,184,Johnson Group,36.9
263,12,Karen Hernandez,Goalkeeper,20,195,"Rose, Solis and Johnson",67.9
264,12,Robert Smith,Forward,22,196,Howell-Haynes,57.1
265,12,Kathy Anderson,Forward,21,170,Kennedy LLC,26.1
266,12,Tyler Burgess,Defender,21,173,"Graham, Hicks and Bowen",22.4
267,12,Clifford Burton,Midfielder,31,198,"Wells, Hernandez and Roy",23.9
268,12,Robin Mitchell,Forward,22,172,Murillo Inc,68.3
269,12,Michelle Hall,Defender,32,193,"Gallegos, Sullivan and Martin",71.1
270,12,Eric Haas,Forward,29,194,"Ho, Warren and Morales",32.2
271,12,Amber Rocha,Goalkeeper,29,192,Barnes and Sons,25.3
272,12,Michael Malone,Midfielder,30,174,Franco Ltd,55.1
273,12,Nicholas Valdez,Forward,21,170,Butler-Warren,66.6
274,12,Christopher Smith,Goalkeeper,32,171,Haynes Ltd,59.7
275,12,Robert Davis,Midfielder,23,168,"Burns, Carson and Mays",47.1
276,12,Emily Nguyen,Midfielder,22,191,Lee-Coleman,28.6
277,13,Jason Huynh,Forward,20,183,Taylor Inc,48.2
278,13,Colton Johnson,Midfielder,22,197,"Espinoza, Oconnor and Colon",17.4
279,13,Tiffany Lane,Forward,26,171,Lopez-Wells,28.3
280,13,Kevin Diaz,Midfielder,22,182,Webb and Sons,46.1
281,13,Nathan Howard,Forward,19,182,Khan Inc,2.8
282,13,Jeffrey Preston,Midfielder,28,186,Reynolds PLC,28.4
283,13,Sophia Abbott,Defender,23,190,"Rodriguez, Webb and Morris",6.0
284,13,Michelle Walker,Goalkeeper,21,198,"Lawrence, Preston and Perez",17.6
285,13,Jerry Reyes,Forward,33,186,Howell and Sons,13.0
286,13,Kimberly Adams,Midfielder,29,170,Booth Ltd,70.7
287,13,Alexis Eaton,Defender,24,168,Baker Group,54.1
288,13,Timothy Ruiz,Midfielder,33,192,"Johnson, Miller and Jackson",39.1
289,13,Joseph Armstrong,Forward,32,182,Goodman and Sons,17.6
290,13,Francisco Murillo,Goalkeeper,30,192,Schultz Inc,9.3
291,13,Michael Torres,Forward,35,184,"Manning, Smith and Lee",4.1
292,13,Gina Williams,Forward,20,165,Hunt Ltd,16.8
293,13,Ashley Gould,Defender,23,181,Gonzalez-Anderson,23.5
294,13,Robert Hoover,Goalkeeper,19,196,"Barnes, Sellers and Ramirez",59.9
295,13,Scott Walters,Defender,23,189,Rivera Ltd,42.8
296,13,Beth Peterson,Defender,35,187,Johnston-Gates,6.2
297,13,Troy Guzman,Goalkeeper,32,166,"Scott, Adams and Jimenez",37.1
298,13,Matthew White,Goalkeeper,29,192,Huffman-Barrera,46.1
299,13,Richard Baker,Forward,28,172,Johnson-Fritz,32.7
300,14,Scott Scott,Midfielder,24,194,Rodriguez-Navarro,66.6
301,14,Cindy Oneill,Midfielder,21,192,Boyle-Mendez,67.6
302,14,Jennifer Dawson,Defender,32,190,"Sims, Weber and Evans",42.2
303,14,Dennis Nguyen,Forward,28,186,Griffin-Newman,18.1
304,14,Virginia Hughes,Defender,21,197,"Kennedy, Rivera and Price",50.8
305,14,Donna Sandoval,Defender,30,187,"Johnson, Nichols and Mcgee",58.3
306,14,Bobby Turner,Defender,26,171,Ramirez-Hicks,12.1
307,14,Anna Carroll,Defender,24,174,"Perez, Thompson and Mcdonald",60.9
308,14,Maria Romero,Goalkeeper,24,196,Robinson Ltd,37.4
309,14,Melissa Ramirez,Forward,29,185,Cisneros Group,12.5
310,14,Diana Rodriguez,Goalkeeper,34,193,"Sampson, Mcdowell and Williams",50.7
311,14,Brittany Richardson,Midfielder,20,187,Rodriguez PLC,40.8
312,14,Gina Carr,Midfielder,33,193,"Santos, Meyer and Barron",3.5
313,14,Chad Davenport,Midfielder,28,169,Shaw-Moody,51.8
314,14,Lauren Estrada,Goalkeeper,35,189,"Vance, Williams and Williams",37.3
315,14,Jennifer Wright,Goalkeeper,33,177,King PLC,26.1
316,14,Terry Odom,Forward,35,174,Evans Ltd,76.6
317,14,Paige Hernandez,Forward,22,186,Conner-Johnson,78.6
318,14,Danielle Clark,Goalkeeper,35,176,Butler LLC,3.6
319,14,Mark Mills,Forward,33,198,Jones PLC,42.1
320,14,Christina Page DDS,Defender,30,188,Montes Inc,73.5
321,14,Angela Jackson,Forward,32,186,Ross Group,54.5
322,14,Taylor Mendez,Goalkeeper,29,169,"Fuentes, Richards and Francis",26.7
323,15,Jeremy Garcia,Forward,28,181,"Johnson, Newton and Evans",58.0
324,15,Steven Bass,Defender,29,170,"Molina, Anderson and Moore",46.8
325,15,Kayla Golden,Defender,30,184,Mason-Reid,77.4
326,15,April Rojas,Forward,23,170,"Hill, Mcdonald and Ruiz",25.1
327,15,Alexandria Wolfe,Forward,29,173,Ballard Group,53.8
328,15,Susan Wilkinson,Goalkeeper,32,197,Martin-Miles,29.3
329,15,Dr. Ryan Kennedy,Midfielder,28,176,"Morris, Martinez and Hill",76.1
330,15,Mark Burke,Midfielder,34,177,"Adams, Collins and Burke",18.5
331,15,Daniel Johnson,Defender,23,169,"Gibson, Gonzales and Newton",24.0
332,15,Andrea Hall,Goalkeeper,35,198,Marks LLC,3.5
333,15,Angela Scott,Midfielder,23,189,Livingston-Cooper,12.8
334,15,James Goodwin,Defender,24,193,"Chung, Reese and Stein",4.0
335,15,Jennifer Bailey,Midfielder,26,193,Wong-Goodwin,49.0
336,15,Jessica Freeman,Forward,26,180,"Abbott, Dunlap and Williams",25.1
337,15,Emily Barron,Forward,25,188,Walker-Vega,54.4
338,15,Brandy Sanders,Forward,33,183,Melton and Sons,62.4
339,15,Adriana Robinson,Forward,24,177,Stewart-Reed,64.2
340,15,Miss Samantha Lee,Defender,27,168,Harrison Group,51.5
341,15,Courtney Dyer,Midfielder,22,198,Lee PLC,68.2
342,15,Isaac Williams,Midfielder,21,175,Mueller-Morris,22.2
343,15,Daniel Ponce,Defender,32,170,"Matthews, Moore and Castillo",75.7
344,15,Calvin Rodriguez,Defender,33,187,Clark-Brown,74.5
345,15,Julie Bridges,Forward,20,190,Davis-Harrington,40.4
346,16,Peter Best,Defender,31,170,Phillips LLC,30.3
347,16,Stephanie Johnson,Goalkeeper,29,171,"Miller, Ross and Short",67.2
348,16,Elizabeth Vazquez,Midfielder,23,173,Byrd-Walters,3.5
349,16,Robert Davis,Forward,23,195,Dunlap PLC,36.2
350,16,Lucas Nguyen,Goalkeeper,21,166,"Fox, Lawrence and Larsen",20.8
351,16,Sara Martinez,Defender,35,192,"Campos, Hogan and Chavez",9.3
352,16,Sean Hess,Midfielder,26,184,"Nichols, Wong and Reese",10.2
353,16,Ronald Kelly,Defender,32,194,"Patel, Marshall and Collins",5.5
354,16,Alex Mosley,Forward,19,197,Harvey and Sons,46.2
355,16,Amber Benson,Defender,28,192,George Ltd,0.6
356,16,Dustin Barnes,Midfielder,26,191,Livingston Group,15.4
357,16,John Blackwell,Goalkeeper,35,188,Stevenson-Myers,5.9
358,16,Nathaniel Smith,Goalkeeper,31,195,Mclean-Soto,4.0
359,16,Tony Anderson,Forward,30,181,"Miller, Whitaker and Howard",59.9
360,16,Tyler Wells,Midfielder,21,187,Glass LLC,19.7
361,16,Robert Wilson,Goalkeeper,29,173,"Cruz, Kelly and Knight",4.0
362,16,Geoffrey Williams,Midfielder,24,194,Reed Inc,78.5
363,16,Bradley Porter,Forward,24,173,Williams LLC,5.5
364,16,David Barron,Forward,20,183,Wilson Group,16.5
365,16,Tiffany Grant,Defender,20,185,Crosby-Marks,74.7
366,16,Donald Fletcher,Forward,34,181,Garcia-Jones,3.4
367,16,Ricky Hughes,Defender,28,187,"Davis, Jones and Hensley",69.0
368,16,Jeff Arellano,Goalkeeper,29,182,Moore-Thomas,10.4
369,17,Susan Murphy,Midfielder,32,190,"Thompson, Collins and Weiss",59.6
370,17,Dr. Laura Cook,Forward,29,176,"White, Martin and Adams",39.9
371,17,Mary Mcdonald,Forward,30,198,Poole-Campbell,21.7
372,17,Nicole Powell,Goalkeeper,32,170,Martin LLC,34.7
373,17,Amber Mccarthy,Defender,28,185,Collins-Kim,8.7
374,17,John Pacheco,Midfielder,28,184,Mcclain Group,36.0
375,17,Stephen Mitchell,Forward,24,193,Sanders and Sons,28.4
376,17,Scott Dunn,Goalkeeper,30,192,Barnes PLC,22.3
377,17,Dale Diaz,Goalkeeper,21,190,Taylor-Francis,29.4
378,17,Damon Davila,Defender,19,174,Hawkins-Burke,68.0
379,17,Gary Stewart,Forward,20,173,Burton Group,5.8
380,17,Jacqueline Hopkins,Midfielder,30,189,"Hale, Benitez and Tyler",76.0
381,17,Marcus Robles,Goalkeeper,23,193,Martin-Reyes,75.9
382,17,Justin Benton,Midfielder,33,169,Fernandez Group,46.1
